Site Name,State,Lat,Lon,Max Tower Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Type,Capacity (MW)
TS Power Plant,NV,40.6422,-116.937,64.7,16.4,Good,Coal,220.0
Desert Rock,NM,36.5435,-108.2235,169.2,111.6,Good,Coal,1500.0
Oak Grove Project,TX,31.0494,-96.4813,484.4,140.4,Good,Coal,944.0
Tenaska Trailblazer Energy Center,TX,32.8043,-100.158,174.7,44.6,Good,Coal,600.0
Rio Bravo Jasmin,CA,35.7415,-119.0512,9.8,2.5,Good,Coal,38.2
Savannah Mill,GA,32.3683,-81.3413,21.0,5.3,Good,Coal,154.0
E S Joslin,TX,28.67945,-96.56,88.7,22.5,Good,Coal,303.0
Sandy Creek,TX,31.5031,-96.9602,243.6,66.9,Good,Coal,900.0
Shady Point,OK,35.1931,-94.6458,102.5,26.0,Good,Coal,350.0
"Jefferson Smurfit Nassau County,  FL",FL,30.6833,-81.4592,22.0,5.5,Good,Coal,74.4
Limestone (TX),TX,31.4219,-96.2525,487.9,137.3,Good,Coal,1849.8
Rio Bravo Poso,CA,35.5556,-119.0832,11.3,2.8,Fair,Coal,38.2
Cholla,AZ,34.9394,-110.3033,212.4,54.0,Excellent,Coal,1128.8
Southport NC,NC,33.9444,-78.0125,39.8,10.0,Fair,Coal,135.0
W A Parish,TX,29.4828,-95.6311,357.6,91.4,Good,Coal,2697.4
J K Spruce,TX,29.3091,-98.3205,203.4,103.1,Good,Coal,566.0
Charles R Lowman,AL,31.4858,-87.9106,69.2,17.6,Fair,Coal,538.0
Stockton Cogen,CA,37.9119,-121.2611,17.8,4.5,Good,Coal,60.0
Valmy,NV,40.8831,-117.1542,166.2,42.2,Good,Coal,567.0
Ben Hill Plant,GA,31.5,-83.1504,0.0,0.0,Not Considered,Coal,850.0
Cates Cogen Plant,NC,35.6598,-78.2456,0.0,0.0,Not Considered,Coal,11.0
Carbon Alloy Synthesis Facility,AL,32.6825,-88.1044,0.0,0.0,Not Considered,Coal,20.5
Ely Energy Center,NV,39.2512,-114.88,0.0,0.0,Not Considered,Coal,1500.0
Raton,NM,36.893,-104.442,0.0,0.0,Not Considered,Coal,7.5
Plant Crisp,GA,31.8477,-83.9421,0.0,0.0,Not Considered,Coal,12.5
Green County,AL,32.6017,-87.7811,0.0,0.0,Not Considered,Coal,568.4
Kennecott Utah Copper,UT,40.7119,-112.1225,0.0,0.0,Not Considered,Coal,213.8
Kinston,NC,35.3298,-77.4752,0.0,0.0,Not Considered,Coal,15.0
Bountiful City Petroleum Coke Plant,UT,40.9897,-112.1096,0.0,0.0,Not Considered,Coal,109.0
Savannah Sugar Refinery,GA,32.1491,-81.1449,0.0,0.0,Not Considered,Coal,11.7
Argus Cogen Plant,CA,35.765,-117.3833,0.0,0.0,Not Considered,Coal,55.0
Yates,GA,33.4622,-84.8986,0.0,0.0,Not Considered,Coal,1487.3
Carbon,UT,39.7272,-110.8644,0.0,0.0,Not Considered,Coal,188.6
Canadys,SC,33.0647,-80.6228,0.0,0.0,Not Considered,Coal,489.6
"Roanoke Rapids, North Carolina",NC,36.4758,-77.6407,0.0,0.0,Not Considered,Coal,22.5
Valmy,NV,40.8831,-117.1542,145.9,37.2,Good,Coal,567.0
Intermountain,UT,39.5108,-112.5792,470.2,122.0,Good,Coal,1640.0
UNC - Chapel Hill,NC,35.9069,-79.0617,15.4,3.9,Fair,Coal,28.0
Hunter,UT,39.1747,-111.0289,286.8,73.2,Good,Coal,1472.2
Victor J. Daniel Jr.,MS,30.5335,-88.5574,159.8,40.8,Good,Coal,1096.6
Stanton Energy Center,FL,28.4836,-81.1686,12.3,12.6,Fair,Coal,929.0
Mayo,NC,36.5278,-78.8917,212.9,54.7,Fair,Coal,735.8
Rocky Mount,NC,36.0378,-77.7542,33.9,8.6,Good,Coal,114.8
Roxboro,NC,36.4833,-79.0731,215.6,55.4,Fair,Coal,2558.2
Indiantown Cogeneration Facility,FL,27.0393,-80.5144,115.4,29.4,Good,Coal,395.4
San Miguel,TX,28.7044,-98.4781,119.8,30.5,Good,Coal,410.0
Big Bend,FL,27.7944,-82.4036,139.8,36.1,Good,Coal,1822.5
Bonanza,UT,40.0864,-109.2844,145.8,37.2,Good,Coal,499.5
C D McIntosh Jr,FL,28.0809,-81.9256,45.4,27.1,Fair,Coal,363.8
Comanche (CO),CO,38.2081,-104.5747,235.4,61.0,Good,Coal,780.0
Cross,SC,33.3692,-80.1119,147.6,92.5,Good,Coal,2390.1
Crystal River,FL,28.9594,-82.7003,123.2,98.6,Fair,Coal,2442.7
Deerhaven,FL,29.7586,-82.3883,73.5,18.7,Good,Coal,250.7
Dolet Hills,LA,32.0306,-93.5692,209.2,53.6,Fair,Coal,720.7
Dan River,NC,36.4862,-79.7208,0.0,0.0,Not Considered,Coal,290.0
Asheville,NC,35.4714,-82.5431,0.0,0.0,Not Considered,Coal,413.6
Barry,AL,31.0069,-88.0103,0.0,0.0,Not Considered,Coal,1770.7
Belews Creek,NC,36.2811,-80.0603,0.0,0.0,Not Considered,Coal,2160.2
Big Brown,TX,31.8206,-96.0561,0.0,0.0,Not Considered,Coal,1186.8
Bowen,GA,34.1256,-84.9192,0.0,0.0,Not Considered,Coal,3498.6
Buck (NC),NC,35.7133,-80.3767,0.0,0.0,Not Considered,Coal,370.0
Bull Run (TN),TN,36.0211,-84.1567,0.0,0.0,Not Considered,Coal,950.0
Cameo,CO,39.1486,-108.3189,0.0,0.0,Not Considered,Coal,66.0
Cape Fear,NC,35.595,-79.0492,0.0,0.0,Not Considered,Coal,328.5
Colbert,AL,34.7439,-87.8486,0.0,0.0,Not Considered,Coal,1350.0
Comanche (CO),CO,38.2081,-104.5747,0.0,0.0,Not Considered,Coal,778.5
Crist,FL,30.5661,-87.2289,0.0,0.0,Not Considered,Coal,1135.1
Cumberland (TN),TN,36.3903,-87.6539,0.0,0.0,Not Considered,Coal,2600.0
Dolphus M Grainger,SC,33.8253,-79.0528,0.0,0.0,Not Considered,Coal,163.2
Drake,CO,38.8244,-104.8331,0.0,0.0,Not Considered,Coal,257.0
Escalante,NM,35.4159,-108.082,75.4,19.1,Good,Coal,257.0
Fayette Power Project,TX,29.9172,-96.7506,291.4,90.0,Fair,Coal,1690.0
Florence Mill,SC,34.1519,-79.5587,23.4,5.9,Good,Coal,107.6
GRDA,OK,36.1906,-95.2889,293.7,75.1,Fair,Coal,1010.0
Hugo,OK,34.0158,-95.3206,130.0,33.2,Good,Coal,446.0
Muskogee,OK,35.7617,-95.2847,166.5,42.4,Fair,Coal,1716.0
Northeastern,OK,36.4317,-95.7008,138.0,35.2,Good,Coal,946.0
Nucla,CO,38.2387,-108.5083,23.5,5.9,Good,Coal,113.8
Pawnee,CO,40.2217,-103.6803,160.8,41.1,Fair,Coal,552.3
Pirkey,TX,32.4607,-94.4852,209.2,53.6,Fair,Coal,721.0
Elizabethtown,NC,34.6474,-78.6407,0.0,0.0,Not Considered,Coal,34.7
G G Allen,NC,35.1897,-81.0122,0.0,0.0,Not Considered,Coal,1155.0
Gallatin,TN,36.3156,-86.4006,0.0,0.0,Not Considered,Coal,1255.2
H B Robinson,SC,34.4017,-80.1589,0.0,0.0,Not Considered,Coal,206.6
H.F. Lee Energy Complex,NC,35.3775,-78.0875,0.0,0.0,Not Considered,Coal,402.4
Harllee Branch,GA,33.1942,-83.2994,0.0,0.0,Not Considered,Coal,1746.2
Hayden,CO,40.4856,-107.185,0.0,0.0,Not Considered,Coal,465.4
Huntington,UT,39.3792,-111.0781,0.0,0.0,Not Considered,Coal,996.0
Irvington,AZ,32.16,-110.9047,0.0,0.0,Not Considered,Coal,173.3
J T Deely,TX,29.3072,-98.3228,0.0,0.0,Not Considered,Coal,932.0
Jack McDonough,GA,33.8244,-84.475,0.0,0.0,Not Considered,Coal,598.4
Jack Watson,MS,30.4408,-89.0265,0.0,0.0,Not Considered,Coal,877.2
John Sevier,TN,36.3767,-82.9639,0.0,0.0,Not Considered,Coal,800.0
Johnsonville (TN),TN,36.0278,-87.9861,0.0,0.0,Not Considered,Coal,1485.2
Kingston,TN,35.8992,-84.5194,0.0,0.0,Not Considered,Coal,1700.0
Marshall,NC,35.5975,-80.9658,0.0,0.0,Not Considered,Coal,1996.0
Martin Lake,TX,32.2597,-94.5703,0.0,0.0,Not Considered,Coal,2379.6
McIntosh,GA,32.3558,-81.1683,0.0,0.0,Not Considered,Coal,177.6
Mitchell (GA),GA,31.4444,-84.1322,0.0,0.0,Not Considered,Coal,163.2
Monticello (TX),TX,33.0917,-95.0417,0.0,0.0,Not Considered,Coal,1980.0
Old Hickory Plant,TN,36.2756,-86.6644,0.0,0.0,Not Considered,Coal,1.0
R D Morrow,MS,31.2194,-89.3933,0.0,0.0,Not Considered,Coal,400.0
R S Nelson,LA,30.2861,-93.2917,0.0,0.0,Not Considered,Coal,614.6
Rawhide,CO,40.8611,-105.0206,86.1,21.8,Good,Coal,293.6
Ray D Nixon,CO,38.6306,-104.7056,60.8,15.4,Good,Coal,207.0
Red Hills,MS,33.3761,-89.2183,149.8,38.2,Fair,Coal,513.7
Reid Gardner,NV,36.6531,-114.6364,86.5,21.9,Excellent,Coal,636.8
Roanoke Valley I,NC,36.4364,-77.6167,53.6,13.6,Good,Coal,182.3
Roanoke Valley II,NC,36.4364,-77.6167,17.1,4.3,Good,Coal,57.8
Roxboro NC,NC,36.435,-78.9619,20.0,5.0,Fair,Coal,67.5
Sandow,TX,30.5642,-97.0639,171.8,44.0,Fair,Coal,590.6
Welsh,TX,33.0583,-94.844,324.8,83.0,Fair,Coal,1674.0
Winyah,SC,33.3303,-79.3611,182.9,46.8,Good,Coal,1260.0
Coronado,AZ,34.5778,-109.2717,120.2,30.6,Excellent,Coal,821.8
Sooner,OK,36.4537,-97.0527,165.7,42.3,Fair,Coal,1138.0
Springerville,AZ,34.3186,-109.1636,511.6,130.2,Excellent,Coal,1299.6
Coleto Creek,TX,28.7128,-97.2142,174.7,44.7,Good,Coal,600.4
Coleto Creek,TX,28.7128,-97.2142,174.7,44.7,Good,Coal,650.0
"Colorado Energy Nations Company, LLP",CO,39.7606,-105.215,6.0,1.5,Good,Coal,35.4
Tolk,TX,34.1847,-102.5686,330.8,84.4,Good,Coal,1136.0
Washington County Power Station,GA,33.0917,-82.9803,242.6,63.2,Fair,Coal,850.0
"Rodemacher (Rapides Parish, LA)",LA,31.395,-92.7167,55.6,41.5,Good,Coal,558.0
St Johns River Power,FL,30.4311,-81.5508,134.5,99.9,Good,Coal,1358.0
Seminole (FL),FL,29.7333,-81.6339,410.8,106.2,Good,Coal,1429.2
Craig (CO),CO,40.4627,-107.5912,257.0,66.4,Good,Coal,1339.2
James H. Miller Jr.,AL,33.6319,-87.0597,202.1,155.4,Fair,Coal,2822.0
Oklaunion,TX,34.0825,-99.1753,208.8,53.6,Fair,Coal,720.0
Central Power & Lime,FL,28.5814,-82.4303,36.8,9.3,Good,Coal,125.0
Scholz,FL,30.6689,-84.8869,0.0,0.0,Not Considered,Coal,98.0
Tennessee Eastman Division,TN,36.5192,-82.535,0.0,0.0,Not Considered,Coal,194.3
Thomas H Allen,TN,35.0742,-90.1439,0.0,0.0,Not Considered,Coal,990.0
W H Weatherspoon,NC,34.5889,-78.975,0.0,0.0,Not Considered,Coal,165.5
W S Lee,SC,34.6022,-82.435,0.0,0.0,Not Considered,Coal,355.0
Wateree,SC,33.8264,-80.6218,0.0,0.0,Not Considered,Coal,771.8
Widows Creek,AL,34.8825,-85.7547,0.0,0.0,Not Considered,Coal,1968.6
Williams,SC,33.0163,-79.9285,0.0,0.0,Not Considered,Coal,632.7
Vanderbilt University Power Plant,TN,36.1456,-86.8042,0.0,0.0,Not Considered,Coal,11.0
Gadsden,AL,34.0128,-85.9708,0.0,0.0,Not Considered,Coal,138.0
Big Cajun 2,LA,30.7261,-91.3669,321.2,139.2,Good,Coal,1871.0
San Juan,NM,36.8006,-108.4386,161.6,41.3,Good,Coal,1848.0
Scherer,GA,33.0583,-83.8072,373.8,263.9,Fair,Coal,3564.0
Gibbons Creek,TX,30.6167,-96.0778,132.5,33.7,Good,Coal,453.5
Harrington,TX,35.2972,-101.7475,105.4,26.8,Good,Coal,1080.0
Twin Oaks Power,TX,31.0932,-96.6965,102.3,26.0,Good,Coal,349.2
Navajo,AZ,36.9047,-111.3886,198.5,158.3,Good,Coal,2250.0
Muskogee Mill,OK,35.7322,-95.2939,13.2,3.3,Good,Coal,114.0
Sandow (Alcoa),TX,30.5642,-97.0639,192.0,49.2,Good,Coal,661.5
Longleaf,GA,31.1844,-85.0359,174.5,89.2,Good,Coal,1200.0
La Cygne,KS,38.3472,-94.6389,0.0,0.0,Not Considered,Coal,1418.0
Flint Creek (AR),AR,36.2561,-94.5241,0.0,0.0,Not Considered,Coal,528.0
Lawrence Energy Center (KS),KS,39.0072,-95.2692,0.0,0.0,Not Considered,Coal,529.0
Quindaro,KS,39.1486,-94.6405,0.0,0.0,Not Considered,Coal,183.0
Nearman Creek,KS,39.1714,-94.6958,0.0,0.0,Not Considered,Coal,229.0
Riverton,KS,37.0719,-94.6986,0.0,0.0,Not Considered,Coal,92.0
Tecumseh Energy Center,KS,39.0522,-95.5669,0.0,0.0,Not Considered,Coal,202.0
Canton,NC,35.535,-82.8411,0.0,0.0,Not Considered,Coal,52.5
Henderson (MS),MS,33.5153,-90.2072,0.0,0.0,Not Considered,Coal,32.6
Cherokee (CO),CO,39.8034,-104.9458,0.0,0.0,Not Considered,Coal,801.2
Lumberton,NC,34.59,-78.9968,0.0,0.0,Not Considered,Coal,34.7
Wansley,GA,33.4124,-85.0345,0.0,0.0,Not Considered,Coal,1904.0
Arapahoe,CO,39.67,-105.0028,0.0,0.0,Not Considered,Coal,160.0
Cliffside,NC,35.22,-81.7594,0.0,0.0,Not Considered,Coal,780.9
Kraft,GA,32.1486,-81.1458,0.0,0.0,Not Considered,Coal,207.9
Hammond,GA,34.2533,-85.3456,0.0,0.0,Not Considered,Coal,953.0
Provo,UT,40.1183,-111.6686,0.0,0.0,Not Considered,Coal,7.5
Four Corners,NM,36.69,-108.4814,0.0,0.0,Not Considered,Coal,2269.6
Lansing Smith,FL,30.2689,-85.7003,0.0,0.0,Not Considered,Coal,340.0
Snowflake Mill,AZ,34.5025,-110.3361,0.0,0.0,Not Considered,Coal,70.5
Gorgas,AL,33.6446,-87.2003,0.0,0.0,Not Considered,Coal,1416.7
TXI Riverside Cement Power House,CA,34.6,-117.3333,0.0,0.0,Not Considered,Coal,24.0
USDOE Savannah River Site (D Area),SC,32.3683,-81.3413,0.0,0.0,Not Considered,Coal,78.2
North Omaha,NE,41.3297,-95.9458,0.0,0.0,Not Considered,Coal,646.3
Lon Wright,NE,41.4275,-96.4619,0.0,0.0,Not Considered,Coal,85.0
Whelan Energy Center,NE,40.5806,-98.3106,66.0,16.0,Fair,Coal,297.0
Sheldon (NE),NE,40.5589,-96.7842,0.0,0.0,Not Considered,Coal,225.0
Boardman (OR),OR,45.6933,-119.8056,0.0,0.0,Not Considered,Coal,585.0
Jim Bridger,WY,41.7378,-108.7875,0.0,0.0,Not Considered,Coal,2118.0
Dave Johnston,WY,42.8378,-105.7769,0.0,0.0,Not Considered,Coal,762.0
Dry Fork Station,WY,44.291092,-105.502221,114.0,29.0,Fair,Coal,390.0
Naughton,WY,41.7572,-110.5986,0.0,0.0,Not Considered,Coal,700.0
Plum Point Energy,AR,35.6763,-90.0131,156.0,54.0,Good,Coal,670.0
Holcomb East,KS,37.9306,-100.9725,102.0,26.0,Good,Coal,362.0
Independence (AR),AR,35.6733,-91.4083,304.0,126.0,Good,Coal,1678.0
Jeffrey Energy Center,KS,39.2825,-96.1153,208.0,52.0,Fair,Coal,2164.0
White Bluff,AR,34.4236,-92.1392,0.0,0.0,Not Considered,Coal,1659.0
Wygen III,WY,44.287,-105.387,34.0,9.0,Good,Coal,100.0
Gerald Gentleman,NE,41.0808,-101.1408,203.0,52.0,Good,Coal,1365.0
Nebraska City,NE,40.6215,-95.7765,198.0,51.0,Good,Coal,1330.2
Platte,NE,40.8538,-98.3481,32.0,8.0,Good,Coal,100.0
Laramie River,WY,42.1103,-104.8828,166.0,42.0,Good,Coal,1710.0
Neil Simpson II,WY,44.2853,-105.3841,24.0,6.0,Fair,Coal,80.0
Wygen,WY,44.2862,-105.3843,26.0,7.0,Good,Coal,91.0
Wygen II,WY,44.2911,-105.3815,28.0,7.0,Good,Coal,85.0
Wyodak,WY,44.2886,-105.3847,0.0,0.0,Not Considered,Coal,335.0
Holcomb East,KS,37.986135,-100.989333,246.0,67.0,Good,Coal,895.0
John W Turk Jr Power Plant,AR,33.614565,-93.813516,177.0,45.0,Good,Coal,609.0
May Plant,SC,34.2338,-80.6558,0.0,0.0,Not Considered,Coal,30.0
Red River Parish-PAC,LA,32.0306,-93.5692,0.0,0.0,Not Considered,Coal,36.76
Coosa Pines,AL,33.3278,-86.3583,0.0,1.0,Not Considered,Coal,26.1
Apache Station,AZ,32.0619,-109.8931,0.0,0.0,Not Considered,Coal,408.0
E C Gaston,AL,33.2442,-86.4567,0.0,0.0,Not Considered,Coal,2012.8
Jefferies,SC,33.2422,-79.9875,0.0,0.0,Not Considered,Coal,345.6
Riverbend,NC,35.36,-80.9742,0.0,0.0,Not Considered,Coal,466.0
Valmont,CO,40.0195,-105.202,0.0,0.0,Not Considered,Coal,191.7
L V Sutton,NC,34.2824,-77.9864,0.0,0.0,Not Considered,Coal,671.6
W N Clark,CO,38.4344,-105.25,0.0,0.0,Not Considered,Coal,43.7
Afton,NM,32.1134,-106.848,20.9,18.7,Excellent,Natural Gas,287.0
Allen,NV,36.425,-114.9,42.6,38.4,Excellent,Natural Gas,576.0
Apex Industrial Park,NV,36.4178,-114.9622,75.2,63.8,Excellent,Natural Gas,600.6
Arlington Valley Energy,AZ,33.3417,-112.8897,96.5,80.7,Good,Natural Gas,713.0
Avenal,CA,36.00417,-120.1281,87.7,73.2,Good,Natural Gas,600.0
Bluffview,NM,36.7164,-108.2153,6.7,5.9,Good,Natural Gas,67.0
Blythe Energy Power Plant,CA,33.6157,-114.6865,44.6,39.8,Excellent,Natural Gas,591.0
Agua Fria,AZ,33.5542,-112.2161,0.0,0.0,Not Considered,Natural Gas,390.4
Animas,NM,36.7251,-108.1919,0.0,0.0,Not Considered,Natural Gas,24.6
ASU Cogeneration Plant,AZ,32.228086,-110.954232,0.0,0.0,Not Considered,Natural Gas,18.0
Apache Station,AZ,32.0619,-109.8931,0.0,0.0,Not Considered,Natural Gas,93.1
Arapahoe,CO,39.67,-105.0028,0.0,0.0,Not Considered,Natural Gas,480.0
Arapahoe CC,CO,39.6692,-105.0018,0.0,0.0,Not Considered,Natural Gas,193.9
Agnews Cogeneration,CA,37.2273,-121.6827,0.0,0.0,Not Considered,Natural Gas,32.0
Berkeley Cogeneration,CA,37.6427,-121.8743,0.0,0.0,Not Considered,Natural Gas,28.5
BHCI Facility,CO,38.266169,-104.613726,0.0,0.0,Not Considered,Natural Gas,200.0
Black Hills CC Plant,CO,38.266169,-104.613726,0.0,0.0,Not Considered,Natural Gas,380.0
Black Mountain Plant,NV,36.2253,-114.8783,0.0,0.0,Not Considered,Natural Gas,96.3
Agua Mansa,CA,34.0414,-117.3603,0.0,0.0,Not Considered,Natural Gas,75.5
Bowie Power Station,AZ,32.3225,-109.4872,17.7,16.6,Excellent,Natural Gas,1050.0
Brush,CO,40.2403,-103.6225,32.3,27.2,Good,Natural Gas,299.6
Chuck Lenzie Generating Station,NV,36.3853,-114.9228,192.3,161.0,Excellent,Natural Gas,1465.6
C R Wing Cogeneration Plant,TX,32.2722,-101.4222,0.0,0.0,Not Considered,Natural Gas,230.0
Campbell Soup Cogeneration,CA,38.511068,-121.471796,0.0,0.0,Not Considered,Natural Gas,173.9
Clark (NV),NV,36.0875,-115.0507,11.8,10.9,Good,Natural Gas,578.8
Cardinal Cogen,CA,37.4296,-122.1759,0.0,0.0,Not Considered,Natural Gas,52.8
Carson Cogeneration,CA,33.8759,-118.2491,0.0,0.0,Not Considered,Natural Gas,55.8
