Site Name,State,Lat,Lon,Max Tower Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Type,Capacity (MW)
Cedar Bayou 4,TX,29.7483,-94.9272,0.0,0.0,Not Considered,Natural Gas,535.5
Central Energy Plant,FL,28.4263,-81.5806,0.0,0.0,Not Considered,Natural Gas,70.0
Chouteau,OK,36.2206,-95.2756,0.0,0.0,Fair,Natural Gas,540.0
Corpus Christi Energy Center,TX,27.8139,-97.4283,5.4,5.1,Good,Natural Gas,575.5
Cottonwood Energy,TX,30.2588,-93.7353,42.8,35.6,Good,Natural Gas,1336.0
Cogen Lyondell,TX,29.8144,-95.1103,0.0,0.0,Not Considered,Natural Gas,643.6
Dan River,NC,36.4862,-79.7208,0.0,0.0,Not Considered,Natural Gas,620.0
Decatur Energy Center (Solutia Cogen),AL,34.6292,-87.0214,0.0,0.0,Not Considered,Natural Gas,711.0
Deer Park Energy Center,TX,29.7153,-95.1361,0.0,0.0,Not Considered,Natural Gas,996.0
Deer Park Energy Center,TX,29.7153,-95.1361,0.0,0.0,Not Considered,Natural Gas,996.0
Dow Chemical Louisiana Operations,LA,30.3186,-91.2325,0.0,0.0,Not Considered,Natural Gas,714.5
Evangeline Power Project,LA,30.8442,-92.2606,71.7,63.4,Fair,Natural Gas,922.8
Forney Generating Facility,TX,32.7563,-96.4916,246.8,205.8,Fair,Natural Gas,1783.8
Columbia Energy Center,SC,33.8692,-81.0183,0.0,0.0,Not Considered,Natural Gas,668.5
Crist,FL,30.5661,-87.2289,0.0,0.0,Not Considered,Natural Gas,600.0
Dallas/Fort Worth Airport,TX,32.8967,-97.0406,0.0,0.0,Not Considered,Natural Gas,110.0
Dow Chemical Texas Operations,TX,28.99,-95.36,0.0,0.0,Not Considered,Natural Gas,1010.6
Dow Freeport,TX,28.9433,-95.4584,0.0,0.0,Not Considered,Natural Gas,260.0
Eastex Cogeneration Project,TX,32.4573,-94.6541,0.0,0.0,Not Considered,Natural Gas,467.7
Effingham County,GA,32.2792,-81.2842,0.0,0.0,Not Considered,Natural Gas,594.3
Fort Myers,FL,26.6967,-81.7831,14.9,14.0,Good,Natural Gas,1644.2
Franklin CC,AL,32.6094,-85.0961,163.4,140.4,Fair,Natural Gas,1995.7
Franklin CC,AL,32.6094,-85.0961,76.3,65.5,Fair,Natural Gas,688.1
Freestone Energy Center,TX,31.8907,-96.1128,35.4,32.6,Fair,Natural Gas,1036.0
Frontera Generation Facility,TX,26.208,-98.3992,13.0,12.0,Fair,Natural Gas,529.0
GenPower Anderson,SC,34.5299,-82.7122,83.8,69.7,Fair,Natural Gas,655.6
GenPower Earleys,NC,36.305926,-76.986952,86.6,72.0,Good,Natural Gas,670.0
GenPower Kelley,AL,33.5193,-86.8012,171.8,143.0,Fair,Natural Gas,1340.0
GenPower McIntosh,GA,32.3558,-81.1683,86.6,72.0,Good,Natural Gas,670.0
Green Country Energy Project,OK,35.9833,-95.9346,95.0,82.2,Good,Natural Gas,903.9
Guadalupe,TX,29.6237,-98.1395,34.3,50.8,Good,Natural Gas,1142.2
H L Culbreath Bayside,FL,27.9072,-82.4231,27.1,33.4,Good,Natural Gas,2014.4
Elmore County Combined Cycle Plant,AL,32.4971,-86.331,0.0,0.0,Not Considered,Natural Gas,800.0
Ennis-Tractebel Power Project,TX,32.3194,-96.6739,0.0,0.0,Not Considered,Natural Gas,418.0
Formosa Plastics Corp,LA,30.4992,-91.1872,0.0,0.0,Not Considered,Natural Gas,93.5
Formosa Utility Venture,TX,28.6917,-96.5417,0.0,0.0,Not Considered,Natural Gas,689.4
Freeport,TX,28.9433,-95.4584,0.0,0.0,Not Considered,Natural Gas,92.7
GE Plastics Cogen,AL,32.3102,-86.5242,0.0,0.0,Not Considered,Natural Gas,97.0
Hidalgo Energy Center,TX,26.3417,-98.1757,21.2,19.5,Good,Natural Gas,551.3
Hillabee Energy Center,AL,32.9346,-85.9597,46.3,41.8,Fair,Natural Gas,822.8
Hinds Energy Facility,MS,32.412,-90.2315,30.2,27.2,Fair,Natural Gas,502.0
Hines,FL,27.7886,-81.8694,38.4,35.1,Good,Natural Gas,2262.5
Ingleside Cogeneration,TX,27.8827,-97.2429,37.0,33.1,Good,Natural Gas,548.2
Horseshoe Lake,OK,35.5089,-97.1789,0.0,0.0,Not Considered,Natural Gas,247.0
Jack Energy Facility,TX,33.1691,-97.8246,82.3,68.6,Good,Natural Gas,640.0
Jack Energy Facility,TX,33.1691,-97.8246,82.3,68.6,Good,Natural Gas,640.0
Gregory Power,TX,27.8881,-97.2572,0.0,0.0,Not Considered,Natural Gas,432.0
H.F. Lee Energy Complex,NC,35.3775,-78.0875,0.0,0.0,Not Considered,Natural Gas,950.0
Hansel,FL,28.2908,-81.4069,0.0,0.0,Not Considered,Natural Gas,55.0
Hardee Power Station,FL,27.6364,-81.9636,0.0,0.0,Not Considered,Natural Gas,287.4
Hays Energy Project,TX,29.7806,-97.9894,0.0,0.0,Not Considered,Natural Gas,989.0
Henry D King,FL,27.45,-80.3239,0.0,0.0,Not Considered,Natural Gas,30.8
Hiram Clarke,TX,29.65151,-95.452695,0.0,0.0,Not Considered,Natural Gas,150.0
Hog Bayou Energy Center,AL,30.7478,-88.0575,0.0,0.0,Not Considered,Natural Gas,329.0
Houston Chemical Complex Battleground,TX,29.7314,-95.0839,0.0,0.0,Not Considered,Natural Gas,316.4
J L Bates,TX,26.2222,-98.3944,0.0,0.0,Not Considered,Natural Gas,182.0
Jack McDonough,GA,33.8244,-84.475,0.0,0.0,Not Considered,Natural Gas,2520.0
Jasper County,SC,32.3592,-81.1236,103.4,89.3,Good,Natural Gas,1001.7
Johnson County,TX,32.3994,-97.4078,14.7,13.4,Good,Natural Gas,282.6
Kiamichi Energy Facility,OK,34.6831,-95.9349,176.7,147.8,Fair,Natural Gas,1370.0
Lagoon Creek,TN,35.6578,-89.3964,44.8,39.8,Good,Natural Gas,560.0
Lamar Power,TX,33.6314,-95.589,60.4,54.2,Good,Natural Gas,1090.8
Lansing Smith,FL,30.2689,-85.7003,9.9,9.2,Good,Natural Gas,619.7
Limestone (TX),TX,31.4219,-96.2525,22.0,59.5,Fair,Natural Gas,1849.8
Lost Pines 1 Power Plant,TX,30.1478,-97.27,8.4,7.9,Fair,Natural Gas,595.0
Louisiana 1,LA,30.4903,-91.1875,19.2,17.4,Good,Natural Gas,406.3
John Sevier,TN,36.3767,-82.9639,0.0,0.0,Not Considered,Natural Gas,880.0
L V Sutton,NC,34.2824,-77.9864,0.0,0.0,Not Considered,Natural Gas,620.0
La Palma,TX,26.124,-97.6197,0.0,0.0,Not Considered,Natural Gas,255.0
Lake Charles Cogen,LA,30.2637,-93.2773,0.0,0.0,Not Considered,Natural Gas,493.0
Lake Cogen,FL,28.9158,-81.676,0.0,0.0,Not Considered,Natural Gas,157.7
Larsen Memorial,FL,28.0797,-81.9228,0.0,0.0,Not Considered,Natural Gas,126.5
Lauderdale,FL,26.0681,-80.1983,0.0,0.0,Not Considered,Natural Gas,1042.4
Lawton Energy Cogen Facility,OK,34.5431,-98.3244,0.0,0.0,Not Considered,Natural Gas,308.0
Lewis Creek,TX,30.4364,-95.5215,0.0,0.0,Not Considered,Natural Gas,550.0
Lon C Hill,TX,27.84613,-97.6149,0.0,0.0,Not Considered,Natural Gas,530.0
Magic Valley Generating Station,TX,26.3403,-98.19,22.2,20.6,Good,Natural Gas,801.0
Manatee,FL,27.6058,-82.3456,93.0,82.6,Good,Natural Gas,1224.6
Martin,FL,27.0536,-80.5628,92.9,82.0,Good,Natural Gas,2448.5
McClain Energy Facility,OK,35.2979,-97.5896,32.6,29.2,Good,Natural Gas,489.0
McIntosh CC,GA,32.3558,-81.1683,152.3,130.6,Good,Natural Gas,1376.6
McWilliams,AL,31.4001,-86.4767,11.8,11.0,Fair,Natural Gas,654.0
Moselle,MS,31.5289,-89.2992,36.0,29.8,Good,Natural Gas,268.0
Mulberry Cogen,FL,27.8489,-81.8775,8.3,7.4,Fair,Natural Gas,131.5
Magnolia Energy,MS,34.8358,-89.2017,0.0,0.0,Not Considered,Natural Gas,1003.5
Mid-Georgia Cogen,GA,32.4853,-83.6036,0.0,0.0,Not Considered,Natural Gas,323.0
Midlothian Energy Project,TX,32.4302,-97.0537,0.0,0.0,Not Considered,Natural Gas,1734.0
Midulla Generating Station,FL,27.6417,-81.9625,0.0,0.0,Not Considered,Natural Gas,587.0
Mobile Bay Onshore Treating Facility,AL,30.7943,-88.2102,0.0,0.0,Not Considered,Natural Gas,12.0
Monroe CC Plant,GA,33.8239,-83.713,0.0,0.0,Not Considered,Natural Gas,605.0
Mountain Creek,TX,32.7253,-96.9361,0.0,0.0,Not Considered,Natural Gas,640.0
Murray Generating Facility,GA,34.7189,-84.9353,0.0,0.0,Not Considered,Natural Gas,1192.0
Northeastern,OK,36.4317,-95.7008,0.0,0.0,Not Considered,Natural Gas,527.0
Nueces Bay,TX,27.80028,-97.39611,70.6,66.1,Good,Natural Gas,677.0
Oneta Energy Center,OK,36.0119,-95.6967,308.0,130.2,Fair,Natural Gas,1214.0
Osprey Energy Center,FL,28.0525,-81.8083,10.8,8.9,Fair,Natural Gas,644.2
Ouachita Power,LA,32.7056,-92.0697,93.9,81.3,Fair,Natural Gas,903.9
Oyster Creek Unit VIII,TX,28.9455,-95.3149,9.0,7.0,Fair,Natural Gas,497.9
Paris Energy Center,TX,33.6968,-95.5577,10.0,9.1,Fair,Natural Gas,250.0
Perryville,LA,32.6914,-92.0192,26.1,23.9,Fair,Natural Gas,830.9
Orange Cogeneration,FL,27.8708,-81.8253,0.0,0.0,Not Considered,Natural Gas,136.6
Orlando Cogen,FL,28.4422,-81.4119,0.0,0.0,Not Considered,Natural Gas,122.4
Panda Rosemary,NC,36.4525,-77.6594,0.0,0.0,Not Considered,Natural Gas,180.0
Panda Temple Facility,TX,31.09805,-97.3425,0.0,0.0,Not Considered,Natural Gas,1200.0
Pasadena Power Plant,TX,29.7233,-95.1769,0.0,0.0,Not Considered,Natural Gas,815.0
Pasco Cogen,FL,28.3744,-82.1892,0.0,0.0,Not Considered,Natural Gas,141.3
Plaquemine Cogeneration,LA,30.3215,-91.2392,0.0,0.0,Not Considered,Natural Gas,987.0
Polk,FL,27.7286,-81.9897,0.0,0.0,Not Considered,Natural Gas,555.0
Ponca City,OK,36.7205,-97.0868,0.0,0.0,Not Considered,Natural Gas,73.8
Pondera Capital CC,TX,29.7536,-95.3668,0.0,0.0,Not Considered,Natural Gas,3500.0
Port Arthur,TX,29.8577,-93.9653,0.0,0.0,Not Considered,Natural Gas,139.3
Port Arthur Refinery,TX,29.8606,-93.9672,0.0,0.0,Not Considered,Natural Gas,47.2
Port Arthur Plant,TX,29.7569,-94.1898,0.0,1.0,Not Considered,Natural Gas,150.5
PowerSmith Cogen Project,OK,35.4401,-97.6498,13.3,11.5,Fair,Natural Gas,122.4
Rainey Generating Station,SC,34.3477,-82.776,24.5,22.3,Fair,Natural Gas,520.0
Redbud Energy,OK,35.6853,-97.2242,173.4,144.8,Fair,Natural Gas,1338.0
Richmond County,NC,34.8422,-79.7444,16.5,15.2,Fair,Natural Gas,585.9
Rio Nogales Power Project,TX,29.5932,-97.9724,108.2,92.2,Fair,Natural Gas,898.2
S O Purdom,FL,30.1619,-84.2014,6.9,6.4,Good,Natural Gas,247.0
Sand Hill Energy Center,TX,30.2091,-97.6139,47.7,39.7,Good,Natural Gas,388.0
Putnam,FL,29.6283,-81.5856,0.0,0.0,Not Considered,Natural Gas,580.0
Reliant Energy Choctaw County,MS,33.2881,-89.4201,0.0,0.0,Not Considered,Natural Gas,899.0
Richmond County,NC,34.8422,-79.7444,0.0,0.0,Not Considered,Natural Gas,585.9
Riverdale Mill,AL,32.425,-86.8694,0.0,0.0,Not Considered,Natural Gas,55.2
Riviera,FL,26.7653,-80.0528,0.0,0.0,Not Considered,Natural Gas,1344.0
Rowan,NC,35.7325,-80.6019,0.0,0.0,Not Considered,Natural Gas,593.8
Sabine Cogen,TX,30.0444,-93.7716,0.0,0.0,Not Considered,Natural Gas,101.4
Sabine River Works,TX,30.0536,-93.7556,0.0,0.0,Not Considered,Natural Gas,102.3
Sabine River Works Conoco,TX,30.0242,-93.875,0.0,0.0,Not Considered,Natural Gas,505.0
Sand Hill Energy Center,TX,30.2091,-97.6139,0.0,0.0,Not Considered,Natural Gas,388.0
Sanford,FL,28.8419,-81.3256,0.0,0.0,Not Considered,Natural Gas,2720.2
Southaven Energy Center,MS,34.9597,-89.9817,93.8,81.3,Fair,Natural Gas,903.9
Southeast Generating Station,FL,30.1546,-81.5055,38.6,34.6,Good,Natural Gas,545.0
Stanton CC,FL,28.4836,-81.1686,13.5,13.1,Fair,Natural Gas,688.3
Taft Cogeneration Facility,LA,29.9861,-90.4575,88.9,76.2,Good,Natural Gas,894.2
Tenaska Frontier,TX,30.5924,-95.9178,111.5,94.9,Good,Natural Gas,939.7
Tenaska Gateway,TX,32.0164,-94.6189,111.4,94.8,Fair,Natural Gas,939.6
Santa Rosa Energy Center,FL,30.5928,-87.135,0.0,0.0,Not Considered,Natural Gas,241.0
Seadrift Plant,TX,28.4792,-96.6448,0.0,0.0,Not Considered,Natural Gas,168.0
Smith Pocola Energy Project,OK,35.27417,-94.4425,0.0,0.0,Not Considered,Natural Gas,1200.0
Stanton Energy Center,FL,28.4836,-81.1686,0.0,0.0,Not Considered,Natural Gas,300.0
Sterlington,LA,32.7047,-92.0792,0.0,0.0,Not Considered,Natural Gas,226.3
Suwannee River,FL,30.3764,-83.1806,0.0,0.0,Not Considered,Natural Gas,1200.0
T H Wharton,TX,29.9414,-95.5333,0.0,0.0,Not Considered,Natural Gas,647.4
Taft Plant,LA,29.9861,-90.4575,0.0,0.0,Not Considered,Natural Gas,333.6
Tenaska Central Alabama,AL,32.6503,-86.7386,0.0,0.0,Not Considered,Natural Gas,940.0
Tenaska Lindsay Hill,AL,32.6514,-86.7386,0.0,0.0,Not Considered,Natural Gas,939.4
Texas City,TX,29.3787,-94.944,0.0,0.0,Not Considered,Natural Gas,450.0
Texas Medical Center,TX,29.3093,-94.7816,0.0,0.0,Not Considered,Natural Gas,45.0
Texas Petrochemicals Corp,TX,29.6967,-95.255,0.0,0.0,Not Considered,Natural Gas,630.0
Treasure Coast Energy Center,FL,27.44639,-80.32584,52.7,43.8,Good,Natural Gas,411.4
Turkey Point,FL,25.4356,-80.3308,18.0,20.4,Good,Natural Gas,1224.0
Victor J. Daniel Jr.,MS,30.5335,-88.5574,19.0,17.8,Good,Natural Gas,1132.4
Von Rosenburg,TX,29.2575,-98.3828,24.8,22.7,Fair,Natural Gas,550.0
Wansley CC,GA,33.4124,-85.0345,20.1,18.8,Fair,Natural Gas,1239.0
West County Energy Center,FL,26.65833,-80.24167,120.8,105.0,Good,Natural Gas,2500.0
Tiger Bay,FL,27.7447,-81.85,0.0,0.0,Not Considered,Natural Gas,278.1
Tom G Smith,FL,26.6125,-80.0678,0.0,0.0,Not Considered,Natural Gas,31.4
University of Texas at Austin,TX,30.2847,-97.7413,0.0,0.0,Not Considered,Natural Gas,130.6
University of Texas at Austin,TX,30.2847,-97.7413,0.0,0.0,Not Considered,Natural Gas,130.6
Urquhart,SC,33.435,-81.9111,0.0,0.0,Not Considered,Natural Gas,547.8
Vero Beach,FL,27.6311,-80.3758,0.0,0.0,Not Considered,Natural Gas,57.9
Victoria (TX),TX,28.6683,-96.9631,0.0,0.0,Not Considered,Natural Gas,478.0
Wansley Unit 9,GA,33.4082,-85.0399,53.1,46.3,Fair,Natural Gas,568.0
Washington County,AL,31.2504,-88.0156,0.0,0.0,Not Considered,Natural Gas,122.5
Webber Falls Energy Facility,OK,35.553,-95.1702,0.0,0.0,Not Considered,Natural Gas,850.0
Wise County Power Company,TX,33.0583,-97.9103,19.8,18.4,Good,Natural Gas,746.0
Cecil Lynch,AR,34.7535,-92.1987,0.0,0.0,Not Considered,Natural Gas,110.0
McClellan (AR),AR,33.5648,-92.7917,0.0,0.0,Not Considered,Natural Gas,134.0
Harvey Couch,AR,33.3592,-93.4649,0.0,0.0,Not Considered,Natural Gas,123.0
Lake Catherine,AR,34.4341,-92.9046,0.0,0.0,Not Considered,Natural Gas,712.0
Coffeyville,KS,37.0456,-95.6076,0.0,0.0,Not Considered,Natural Gas,37.0
East 12TH Street,KS,37.2376,-96.9619,0.0,0.0,Not Considered,Natural Gas,25.8
Gordon Evans Energy Center,KS,37.7903,-97.5217,0.0,0.0,Not Considered,Natural Gas,537.0
Hutchinson Energy Center,KS,38.0906,-97.8747,0.0,0.0,Not Considered,Natural Gas,162.0
Murrey Gill,KS,37.5956,-97.4131,0.0,0.0,Not Considered,Natural Gas,293.0
Pine Bluff Energy Center,AR,34.2181,-91.9025,32.0,27.0,Good,Natural Gas,192.0
Harry L Oswald Power Facility,AR,34.5923,-92.2166,76.0,64.0,Fair,Natural Gas,548.0
KGen Hot Spring,AR,34.2963,-92.8683,60.0,53.0,Fair,Natural Gas,630.0
Wichita Falls Energy Company,TX,33.8631,-98.5894,0.0,0.0,Not Considered,Natural Gas,80.0
Wilkins,MS,34.1809,-90.6118,0.0,0.0,Not Considered,Natural Gas,47.7
Dell Power Station,AR,35.8619,-90.0253,0.0,0.0,Not Considered,Natural Gas,679.0
Fitzhugh,AR,35.8619,-90.0253,0.0,0.0,Not Considered,Natural Gas,165.0
Carl Bailey,AR,35.2597,-91.3631,0.0,0.0,Not Considered,Natural Gas,122.0
Hot Spring Power Project,AR,34.4304,-92.8333,0.0,0.0,Not Considered,Natural Gas,641.5
Neosho,KS,37.3062,-95.1118,0.0,0.0,Not Considered,Natural Gas,67.0
Union Power,AR,33.2961,-92.5933,332.0,276.0,Fair,Natural Gas,2020.0
Comanche (OK),OK,34.5431,-98.3244,0.0,0.0,Not Considered,Natural Gas,290.0
Harrison County Power Project,TX,32.3958,-94.4361,58.7,0.0,Fair,Natural Gas,570.0
Acadia Power Partners,LA,30.4284,-92.4112,0.0,0.0,Not Considered,Natural Gas,1376.0
Arsenal Hill,LA,32.5181,-93.7611,0.0,0.0,Not Considered,Natural Gas,508.0
Cane Island Power Park,FL,28.2764,-81.533,0.0,0.0,Not Considered,Natural Gas,300.0
Clear Lake Power Plant,TX,29.6255,-95.067,0.0,0.0,Not Considered,Natural Gas,465.2
Gleason Power Facility,TN,36.2454,-88.612,0.0,0.0,Not Considered,Natural Gas,375.0
Greenville Electric Generating Plant,TX,33.13833,-96.11056,0.0,0.0,Not Considered,Natural Gas,1750.0
John R Kelly,FL,29.6467,-82.3219,0.0,1.8,Not Considered,Natural Gas,146.1
Madison Bell Energy Center,TX,30.987,-95.9161,0.0,0.0,Not Considered,Natural Gas,550.0
Morgan Energy Center,AL,34.6397,-87.0639,0.0,0.0,Not Considered,Natural Gas,900.0
PPG Powerhouse C,LA,30.2242,-93.2831,0.0,0.0,Not Considered,Natural Gas,357.7
Sam Rayburn,TX,28.8947,-97.1347,0.0,0.0,Not Considered,Natural Gas,189.6
Silas Ray,TX,25.9131,-97.5214,0.0,0.0,Not Considered,Natural Gas,86.0
Theodore Co-gen Fac,AL,30.5248,-88.1289,0.0,0.0,Not Considered,Natural Gas,317.4
West County Energy Center,FL,26.65833,-80.24167,0.0,0.0,Not Considered,Natural Gas,2500.0
